rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
11496,2006-02-14 15:16:03,2047,155,,1,2006-02-16 02:30:53
11541,2006-02-14 15:16:03,2026,335,,1,2006-02-16 02:30:53
12101,2006-02-14 15:16:03,1556,479,,1,2006-02-16 02:30:53
11563,2006-02-14 15:16:03,1545,83,,1,2006-02-16 02:30:53
11577,2006-02-14 15:16:03,4106,219,,2,2006-02-16 02:30:53
11593,2006-02-14 15:16:03,817,99,,1,2006-02-16 02:30:53
11611,2006-02-14 15:16:03,1857,192,,2,2006-02-16 02:30:53
11646,2006-02-14 15:16:03,478,11,,2,2006-02-16 02:30:53
11652,2006-02-14 15:16:03,1622,597,,2,2006-02-16 02:30:53
11657,2006-02-14 15:16:03,3043,53,,2,2006-02-16 02:30:53
13719,2006-02-14 15:16:03,3547,208,,1,2006-02-16 02:30:53
11672,2006-02-14 15:16:03,3947,521,,2,2006-02-16 02:30:53
11676,2006-02-14 15:16:03,4496,216,,2,2006-02-16 02:30:53
11709,2006-02-14 15:16:03,1720,330,,1,2006-02-16 02:30:53
11739,2006-02-14 15:16:03,4568,373,,2,2006-02-16 02:30:53
11754,2006-02-14 15:16:03,3747,163,,2,2006-02-16 02:30:53
11757,2006-02-14 15:16:03,1295,550,,2,2006-02-16 02:30:53
11782,2006-02-14 15:16:03,4098,354,,1,2006-02-16 02:30:53
11847,2006-02-14 15:16:03,1784,337,,1,2006-02-16 02:30:53
11848,2006-02-14 15:16:03,3680,152,,1,2006-02-16 02:30:53
11866,2006-02-14 15:16:03,2758,200,,2,2006-02-16 02:30:53
11909,2006-02-14 15:16:03,871,474,,1,2006-02-16 02:30:53
11942,2006-02-14 15:16:03,4094,576,,2,2006-02-16 02:30:53
11995,2006-02-14 15:16:03,3953,69,,1,2006-02-16 02:30:53
12001,2006-02-14 15:16:03,4158,52,,2,2006-02-16 02:30:53
12009,2006-02-14 15:16:03,2134,296,,2,2006-02-16 02:30:53
12064,2006-02-14 15:16:03,298,284,,1,2006-02-16 02:30:53
12066,2006-02-14 15:16:03,2474,267,,2,2006-02-16 02:30:53
12116,2006-02-14 15:16:03,3082,560,,2,2006-02-16 02:30:53
12127,2006-02-14 15:16:03,4218,582,,2,2006-02-16 02:30:53
12130,2006-02-14 15:16:03,1358,516,,2,2006-02-16 02:30:53
12141,2006-02-14 15:16:03,731,101,,1,2006-02-16 02:30:53
12144,2006-02-14 15:16:03,512,587,,1,2006-02-16 02:30:53
12222,2006-02-14 15:16:03,3949,22,,1,2006-02-16 02:30:53
12277,2006-02-14 15:16:03,407,33,,2,2006-02-16 02:30:53
12352,2006-02-14 15:16:03,643,155,,1,2006-02-16 02:30:53
12457,2006-02-14 15:16:03,2145,80,,2,2006-02-16 02:30:53
12489,2006-02-14 15:16:03,387,60,,2,2006-02-16 02:30:53
12506,2006-02-14 15:16:03,1132,114,,2,2006-02-16 02:30:53
12524,2006-02-14 15:16:03,857,438,,1,2006-02-16 02:30:53
12574,2006-02-14 15:16:03,177,317,,2,2006-02-16 02:30:53
12610,2006-02-14 15:16:03,3181,269,,1,2006-02-16 02:30:53
12645,2006-02-14 15:16:03,1658,457,,1,2006-02-16 02:30:53
12665,2006-02-14 15:16:03,1701,410,,2,2006-02-16 02:30:53
12672,2006-02-14 15:16:03,1722,228,,1,2006-02-16 02:30:53
12682,2006-02-14 15:16:03,1148,245,,2,2006-02-16 02:30:53
12698,2006-02-14 15:16:03,3657,497,,1,2006-02-16 02:30:53
12716,2006-02-14 15:16:03,858,570,,2,2006-02-16 02:30:53
12719,2006-02-14 15:16:03,1094,87,,2,2006-02-16 02:30:53
12736,2006-02-14 15:16:03,3591,244,,2,2006-02-16 02:30:53
12746,2006-02-14 15:16:03,1012,211,,1,2006-02-16 02:30:53
12759,2006-02-14 15:16:03,4193,354,,2,2006-02-16 02:30:53
12786,2006-02-14 15:16:03,97,512,,1,2006-02-16 02:30:53
12792,2006-02-14 15:16:03,1435,405,,2,2006-02-16 02:30:53
12891,2006-02-14 15:16:03,2764,388,,2,2006-02-16 02:30:53
12897,2006-02-14 15:16:03,1512,178,,2,2006-02-16 02:30:53
12901,2006-02-14 15:16:03,2799,180,,2,2006-02-16 02:30:53
12902,2006-02-14 15:16:03,464,91,,2,2006-02-16 02:30:53
12915,2006-02-14 15:16:03,2651,516,,1,2006-02-16 02:30:53
12938,2006-02-14 15:16:03,3987,28,,1,2006-02-16 02:30:53
12959,2006-02-14 15:16:03,1540,284,,2,2006-02-16 02:30:53
12970,2006-02-14 15:16:03,3999,216,,1,2006-02-16 02:30:53
12988,2006-02-14 15:16:03,81,236,,2,2006-02-16 02:30:53
13008,2006-02-14 15:16:03,1838,181,,1,2006-02-16 02:30:53
13022,2006-02-14 15:16:03,2266,336,,2,2006-02-16 02:30:53
13025,2006-02-14 15:16:03,4066,269,,1,2006-02-16 02:30:53
13056,2006-02-14 15:16:03,3751,115,,2,2006-02-16 02:30:53
13079,2006-02-14 15:16:03,733,107,,1,2006-02-16 02:30:53
13106,2006-02-14 15:16:03,3212,440,,1,2006-02-16 02:30:53
13108,2006-02-14 15:16:03,3630,73,,1,2006-02-16 02:30:53
13161,2006-02-14 15:16:03,986,175,,1,2006-02-16 02:30:53
13178,2006-02-14 15:16:03,693,394,,1,2006-02-16 02:30:53
13182,2006-02-14 15:16:03,364,496,,2,2006-02-16 02:30:53
13209,2006-02-14 15:16:03,1574,5,,2,2006-02-16 02:30:53
13246,2006-02-14 15:16:03,1849,411,,2,2006-02-16 02:30:53
13261,2006-02-14 15:16:03,3538,417,,1,2006-02-16 02:30:53
13295,2006-02-14 15:16:03,2408,229,,1,2006-02-16 02:30:53
13298,2006-02-14 15:16:03,2133,361,,2,2006-02-16 02:30:53
13333,2006-02-14 15:16:03,1092,64,,2,2006-02-16 02:30:53
13351,2006-02-14 15:16:03,4130,42,,2,2006-02-16 02:30:53
13374,2006-02-14 15:16:03,2721,227,,1,2006-02-16 02:30:53
13390,2006-02-14 15:16:03,2855,135,,1,2006-02-16 02:30:53
13419,2006-02-14 15:16:03,3507,537,,1,2006-02-16 02:30:53
13421,2006-02-14 15:16:03,9,366,,1,2006-02-16 02:30:53
13428,2006-02-14 15:16:03,106,44,,2,2006-02-16 02:30:53
13464,2006-02-14 15:16:03,4292,576,,1,2006-02-16 02:30:53
13486,2006-02-14 15:16:03,4460,274,,1,2006-02-16 02:30:53
13534,2006-02-14 15:16:03,2476,75,,1,2006-02-16 02:30:53
13538,2006-02-14 15:16:03,581,279,,1,2006-02-16 02:30:53
13561,2006-02-14 15:16:03,3202,530,,1,2006-02-16 02:30:53
13577,2006-02-14 15:16:03,3844,448,,2,2006-02-16 02:30:53
13578,2006-02-14 15:16:03,4301,352,,2,2006-02-16 02:30:53
13584,2006-02-14 15:16:03,3966,548,,2,2006-02-16 02:30:53
13587,2006-02-14 15:16:03,2455,431,,2,2006-02-16 02:30:53
13713,2006-02-14 15:16:03,3075,267,,1,2006-02-16 02:30:53
13753,2006-02-14 15:16:03,3746,495,,1,2006-02-16 02:30:53
13756,2006-02-14 15:16:03,1146,252,,2,2006-02-16 02:30:53
13780,2006-02-14 15:16:03,1775,14,,2,2006-02-16 02:30:53
13798,2006-02-14 15:16:03,526,15,,2,2006-02-16 02:30:53
13898,2006-02-14 15:16:03,4007,369,,2,2006-02-16 02:30:53
13941,2006-02-14 15:16:03,2727,476,,2,2006-02-16 02:30:53
13952,2006-02-14 15:16:03,224,199,,2,2006-02-16 02:30:53
13965,2006-02-14 15:16:03,670,324,,2,2006-02-16 02:30:53
13968,2006-02-14 15:16:03,3715,15,,2,2006-02-16 02:30:53
14018,2006-02-14 15:16:03,2136,533,,2,2006-02-16 02:30:53
14060,2006-02-14 15:16:03,3100,175,,2,2006-02-16 02:30:53
14098,2005-08-21 00:30:32,6,554,,2,2006-02-23 09:12:08
14107,2006-02-14 15:16:03,3998,251,,1,2006-02-16 02:30:53
14137,2006-02-14 15:16:03,2346,53,,2,2006-02-16 02:30:53
14160,2006-02-14 15:16:03,2428,493,,2,2006-02-16 02:30:53
14172,2006-02-14 15:16:03,2158,450,,2,2006-02-16 02:30:53
14175,2006-02-14 15:16:03,2021,452,,1,2006-02-16 02:30:53
14204,2006-02-14 15:16:03,4334,287,,1,2006-02-16 02:30:53
14216,2006-02-14 15:16:03,3763,186,,1,2006-02-16 02:30:53
14219,2006-02-14 15:16:03,3718,334,,2,2006-02-16 02:30:53
14220,2006-02-14 15:16:03,2618,162,,1,2006-02-16 02:30:53
14243,2006-02-14 15:16:03,1489,264,,1,2006-02-16 02:30:53
14267,2006-02-14 15:16:03,2199,527,,2,2006-02-16 02:30:53
14278,2006-02-14 15:16:03,2334,557,,2,2006-02-16 02:30:53
14318,2006-02-14 15:16:03,1042,508,,2,2006-02-16 02:30:53
14361,2006-02-14 15:16:03,1231,191,,2,2006-02-16 02:30:53
14374,2006-02-14 15:16:03,236,213,,2,2006-02-16 02:30:53
14415,2006-02-14 15:16:03,2670,561,,2,2006-02-16 02:30:53
14425,2006-02-14 15:16:03,2752,560,,2,2006-02-16 02:30:53
14426,2006-02-14 15:16:03,2902,315,,1,2006-02-16 02:30:53
14488,2006-02-14 15:16:03,4202,75,,2,2006-02-16 02:30:53
14503,2006-02-14 15:16:03,2144,188,,1,2006-02-16 02:30:53
14516,2006-02-14 15:16:03,713,457,,2,2006-02-16 02:30:53
14526,2006-02-14 15:16:03,1799,534,,1,2006-02-16 02:30:53
14531,2006-02-14 15:16:03,4296,568,,2,2006-02-16 02:30:53
14604,2006-02-14 15:16:03,1024,585,,2,2006-02-16 02:30:53
14606,2006-02-14 15:16:03,2291,592,,2,2006-02-16 02:30:53
14616,2006-02-14 15:16:03,4537,532,,1,2006-02-16 02:30:53
14734,2006-02-14 15:16:03,1369,448,,2,2006-02-16 02:30:53
14741,2006-02-14 15:16:03,612,60,,2,2006-02-16 02:30:53
14760,2006-02-14 15:16:03,1367,355,,1,2006-02-16 02:30:53
14769,2006-02-14 15:16:03,1800,361,,1,2006-02-16 02:30:53
14878,2006-02-14 15:16:03,1202,441,,2,2006-02-16 02:30:53
14915,2006-02-14 15:16:03,112,349,,1,2006-02-16 02:30:53
14928,2006-02-14 15:16:03,4375,472,,1,2006-02-16 02:30:53
14933,2006-02-14 15:16:03,1186,21,,2,2006-02-16 02:30:53
14954,2006-02-14 15:16:03,3608,525,,1,2006-02-16 02:30:53
15021,2006-02-14 15:16:03,418,100,,2,2006-02-16 02:30:53
15094,2006-02-14 15:16:03,922,424,,1,2006-02-16 02:30:53
15167,2006-02-14 15:16:03,973,190,,2,2006-02-16 02:30:53
15191,2006-02-14 15:16:03,3688,75,,1,2006-02-16 02:30:53
15234,2006-02-14 15:16:03,908,228,,2,2006-02-16 02:30:53
15282,2006-02-14 15:16:03,1932,163,,1,2006-02-16 02:30:53
15293,2006-02-14 15:16:03,1219,263,,2,2006-02-16 02:30:53
15294,2006-02-14 15:16:03,70,108,,1,2006-02-16 02:30:53
15297,2006-02-14 15:16:03,3192,327,,2,2006-02-16 02:30:53
15314,2006-02-14 15:16:03,2754,412,,1,2006-02-16 02:30:53
15326,2006-02-14 15:16:03,3320,58,,1,2006-02-16 02:30:53
15371,2006-02-14 15:16:03,3672,94,,2,2006-02-16 02:30:53
15407,2006-02-14 15:16:03,3330,42,,2,2006-02-16 02:30:53
15423,2006-02-14 15:16:03,1786,596,,1,2006-02-16 02:30:53
15430,2006-02-14 15:16:03,4353,282,,1,2006-02-16 02:30:53
15441,2006-02-14 15:16:03,258,422,,2,2006-02-16 02:30:53
15454,2006-02-14 15:16:03,2946,142,,2,2006-02-16 02:30:53
15458,2006-02-14 15:16:03,25,590,,2,2006-02-16 02:30:53
15497,2006-02-14 15:16:03,363,107,,1,2006-02-16 02:30:53
15532,2006-02-14 15:16:03,1061,23,,1,2006-02-16 02:30:53
15542,2006-02-14 15:16:03,21,111,,1,2006-02-16 02:30:53
15577,2006-02-14 15:16:03,539,29,,2,2006-02-16 02:30:53
15644,2006-02-14 15:16:03,3139,43,,2,2006-02-16 02:30:53
15645,2006-02-14 15:16:03,3838,214,,2,2006-02-16 02:30:53
15655,2006-02-14 15:16:03,604,359,,1,2006-02-16 02:30:53
15695,2006-02-14 15:16:03,2954,300,,1,2006-02-16 02:30:53
15710,2006-02-14 15:16:03,1020,421,,1,2006-02-16 02:30:53
15714,2006-02-14 15:16:03,2083,56,,1,2006-02-16 02:30:53
15717,2006-02-14 15:16:03,902,208,,2,2006-02-16 02:30:53
15729,2006-02-14 15:16:03,2699,193,,2,2006-02-16 02:30:53
15735,2006-02-14 15:16:03,3167,295,,1,2006-02-16 02:30:53
15745,2006-02-14 15:16:03,2737,43,,1,2006-02-16 02:30:53
15778,2006-02-14 15:16:03,1269,234,,1,2006-02-16 02:30:53
15780,2006-02-14 15:16:03,2911,120,,2,2006-02-16 02:30:53
15794,2006-02-14 15:16:03,3917,579,,2,2006-02-16 02:30:53
15813,2006-02-14 15:16:03,981,9,,1,2006-02-16 02:30:53
15862,2006-02-14 15:16:03,925,215,,1,2006-02-16 02:30:53
15867,2006-02-14 15:16:03,837,505,,2,2006-02-16 02:30:53
15875,2006-02-14 15:16:03,3611,41,,1,2006-02-16 02:30:53
15894,2006-02-14 15:16:03,4416,168,,1,2006-02-16 02:30:53
15966,2006-02-14 15:16:03,4472,374,,1,2006-02-16 02:30:53
