address_address,frequency,percentage
741 Ambattur Manor,1,0.17
635 Brest Manor,1,0.17
1596 Acua Parkway,1,0.17
355 Vitria de Santo Anto Way,1,0.17
1952 Chatsworth Drive,1,0.17
1894 Boa Vista Way,1,0.17
1909 Benguela Lane,1,0.17
848 Tafuna Manor,1,0.17
1557 Ktahya Boulevard,1,0.17
316 Uruapan Street,1,0.17
1819 Alessandria Loop,1,0.17
1944 Bamenda Way,1,0.17
984 Novoterkassk Loop,1,0.17
1913 Hanoi Way,1,0.17
51 Laredo Avenue,1,0.17
1673 Tangail Drive,1,0.17
1485 Bratislava Place,1,0.17
1785 So Bernardo do Campo Street,1,0.17
1888 Kabul Drive,1,0.17
1152 Citrus Heights Manor,1,0.17
1440 Fukuyama Loop,1,0.17
1121 Loja Avenue,1,0.17
1697 Kowloon and New Kowloon Loop,1,0.17
1675 Xiangfan Manor,1,0.17
521 San Juan Bautista Tuxtepec Place,1,0.17
496 Celaya Drive,1,0.17
1497 Fengshan Drive,1,0.17
1013 Tabuk Boulevard,1,0.17
1949 Sanya Street,1,0.17
431 Szkesfehrvr Avenue,1,0.17
533 al-Ayn Boulevard,1,0.17
1986 Sivas Place,1,0.17
1877 Ezhou Lane,1,0.17
456 Escobar Way,1,0.17
909 Garland Manor,1,0.17
1078 Stara Zagora Drive,1,0.17
956 Nam Dinh Manor,1,0.17
757 Rustenburg Avenue,1,0.17
185 Mannheim Lane,1,0.17
1948 Bayugan Parkway,1,0.17
543 Bergamo Avenue,1,0.17
1289 Belm Boulevard,1,0.17
1351 Aparecida de Goinia Parkway,1,0.17
954 Kimchon Place,1,0.17
1842 Luzinia Boulevard,1,0.17
1124 Buenaventura Drive,1,0.17
1229 Varanasi (Benares) Manor,1,0.17
817 Laredo Avenue,1,0.17
710 San Felipe del Progreso Avenue,1,0.17
1027 Songkhla Manor,1,0.17
613 Korolev Drive,1,0.17
146 Johannesburg Way,1,0.17
786 Stara Zagora Way,1,0.17
1760 Oshawa Manor,1,0.17
201 Effon-Alaiye Way,1,0.17
1190 0 Place,1,0.17
1926 El Alto Avenue,1,0.17
686 Garland Manor,1,0.17
1854 Okara Boulevard,1,0.17
782 Mosul Street,1,0.17
118 Jaffna Loop,1,0.17
1587 Loja Manor,1,0.17
495 Bhimavaram Lane,1,0.17
269 Cam Ranh Parkway,1,0.17
1027 Banjul Place,1,0.17
1378 Alvorada Avenue,1,0.17
663 Baha Blanca Parkway,1,0.17
781 Shimonoseki Drive,1,0.17
682 Junan Way,1,0.17
817 Bradford Loop,1,0.17
1001 Miyakonojo Lane,1,0.17
659 Vaduz Drive,1,0.17
431 Xiangtan Avenue,1,0.17
954 Lapu-Lapu Way,1,0.17
1293 Nam Dinh Way,1,0.17
45 Aparecida de Goinia Place,1,0.17
770 Bydgoszcz Avenue,1,0.17
596 Huixquilucan Place,1,0.17
144 South Hill Loop,1,0.17
1213 Ranchi Parkway,1,0.17
53 Idfu Parkway,1,0.17
231 Kaliningrad Place,1,0.17
1060 Tandil Lane,1,0.17
616 Hagonoy Avenue,1,0.17
1715 Okayama Street,1,0.17
780 Kimberley Way,1,0.17
929 Tallahassee Loop,1,0.17
182 Nukualofa Drive,1,0.17
1574 Goinia Boulevard,1,0.17
698 Jelets Boulevard,1,0.17
651 Pathankot Loop,1,0.17
226 Halifax Street,1,0.17
1942 Ciparay Parkway,1,0.17
126 Acua Parkway,1,0.17
1002 Ahmadnagar Manor,1,0.17
492 Cam Ranh Street,1,0.17
827 Yuncheng Drive,1,0.17
454 Qinhuangdao Drive,1,0.17
117 Boa Vista Way,1,0.17
660 Jedda Boulevard,1,0.17
1820 Maring Parkway,1,0.17
1746 Faaa Way,1,0.17
98 Stara Zagora Boulevard,1,0.17
1658 Jastrzebie-Zdrj Loop,1,0.17
48 Maracabo Place,1,0.17
1936 Cuman Avenue,1,0.17
922 Vila Velha Loop,1,0.17
1103 Quilmes Boulevard,1,0.17
966 Asuncin Way,1,0.17
1336 Benin City Drive,1,0.17
1029 Dzerzinsk Manor,1,0.17
1679 Antofagasta Street,1,0.17
1206 Dos Quebradas Place,1,0.17
503 Sogamoso Loop,1,0.17
990 Etawah Loop,1,0.17
1628 Nagareyama Lane,1,0.17
41 El Alto Parkway,1,0.17
984 Effon-Alaiye Avenue,1,0.17
457 Tongliao Loop,1,0.17
1133 Rizhao Avenue,1,0.17
1947 Paarl Way,1,0.17
138 Caracas Boulevard,1,0.17
1912 Allende Manor,1,0.17
1922 Miraj Way,1,0.17
999 Sanaa Loop,1,0.17
1489 Kakamigahara Lane,1,0.17
879 Newcastle Way,1,0.17
898 Jining Lane,1,0.17
1557 Cape Coral Parkway,1,0.17
430 Kumbakonam Drive,1,0.17
1964 Gijn Manor,1,0.17
1331 Usak Boulevard,1,0.17
430 Alessandria Loop,1,0.17
1993 0 Loop,1,0.17
1621 Tongliao Avenue,1,0.17
300 Junan Street,1,0.17
1836 Korla Parkway,1,0.17
1443 Mardan Street,1,0.17
1839 Szkesfehrvr Parkway,1,0.17
692 Amroha Drive,1,0.17
203 Tambaram Street,1,0.17
1740 Le Mans Loop,1,0.17
1872 Toulon Loop,1,0.17
953 Hodeida Street,1,0.17
259 Ipoh Drive,1,0.17
1103 Bilbays Parkway,1,0.17
387 Mwene-Ditu Drive,1,0.17
1378 Beira Loop,1,0.17
1217 Konotop Avenue,1,0.17
1421 Quilmes Lane,1,0.17
862 Xintai Lane,1,0.17
1837 Kaduna Parkway,1,0.17
544 Tarsus Boulevard,1,0.17
647 A Corua (La Corua) Street,1,0.17
1009 Zanzibar Lane,1,0.17
1792 Valle de la Pascua Place,1,0.17
753 Ilorin Avenue,1,0.17
1568 Celaya Parkway,1,0.17
1823 Hoshiarpur Lane,1,0.17
983 Santa F Way,1,0.17
734 Bchar Place,1,0.17
771 Yaound Manor,1,0.17
814 Simferopol Loop,1,0.17
60 Poos de Caldas Street,1,0.17
478 Joliet Way,1,0.17
1417 Lancaster Avenue,1,0.17
1294 Firozabad Drive,1,0.17
415 Pune Avenue,1,0.17
1407 Pachuca de Soto Place,1,0.17
1049 Matamoros Parkway,1,0.17
1176 Southend-on-Sea Manor,1,0.17
1166 Changhwa Street,1,0.17
698 Otsu Street,1,0.17
28 MySQL Boulevard,1,0.17
958 Sagamihara Lane,1,0.17
1 Valle de Santiago Avenue,1,0.17
207 Cuernavaca Loop,1,0.17
900 Santiago de Compostela Parkway,1,0.17
163 Augusta-Richmond County Loop,1,0.17
808 Naala-Porto Parkway,1,0.17
1618 Olomouc Manor,1,0.17
345 Oshawa Boulevard,1,0.17
507 Smolensk Loop,1,0.17
671 Graz Street,1,0.17
1153 Allende Way,1,0.17
331 Bydgoszcz Parkway,1,0.17
1727 Matamoros Place,1,0.17
1192 Tongliao Street,1,0.17
1337 Lincoln Parkway,1,0.17
788 Atinsk Street,1,0.17
1464 Kursk Parkway,1,0.17
500 Lincoln Parkway,1,0.17
1752 So Leopoldo Parkway,1,0.17
1884 Shikarpur Avenue,1,0.17
1860 Taguig Loop,1,0.17
1519 Santiago de los Caballeros Loop,1,0.17
1923 Stara Zagora Lane,1,0.17
1542 Tarlac Parkway,1,0.17
152 Kitwe Parkway,1,0.17
32 Pudukkottai Lane,1,0.17
514 Ife Way,1,0.17
421 Yaound Street,1,0.17
1912 Emeishan Drive,1,0.17
1661 Abha Drive,1,0.17
1688 Nador Lane,1,0.17
432 Garden Grove Street,1,0.17
898 Belm Manor,1,0.17
686 Donostia-San Sebastin Lane,1,0.17
434 Ourense (Orense) Manor,1,0.17
556 Asuncin Way,1,0.17
1795 Santiago de Compostela Way,1,0.17
102 Chapra Drive,1,0.17
947 Trshavn Place,1,0.17
168 Cianjur Manor,1,0.17
1074 Binzhou Manor,1,0.17
981 Kumbakonam Place,1,0.17
1074 Sanaa Parkway,1,0.17
767 Pyongyang Drive,1,0.17
844 Bucuresti Place,1,0.17
760 Miyakonojo Drive,1,0.17
949 Allende Lane,1,0.17
1191 Sungai Petani Boulevard,1,0.17
1497 Yuzhou Drive,1,0.17
1963 Moscow Place,1,0.17
928 Jaffna Loop,1,0.17
992 Klerksdorp Loop,1,0.17
1215 Pyongyang Parkway,1,0.17
1769 Iwaki Lane,1,0.17
1269 Botosani Manor,1,0.17
1993 Tabuk Lane,1,0.17
1917 Kumbakonam Parkway,1,0.17
390 Wroclaw Way,1,0.17
185 Novi Sad Place,1,0.17
379 Lublin Parkway,1,0.17
1246 Boksburg Parkway,1,0.17
680 A Corua (La Corua) Manor,1,0.17
891 Novi Sad Manor,1,0.17
356 Olomouc Manor,1,0.17
1473 Changhwa Parkway,1,0.17
193 Bhusawal Place,1,0.17
939 Probolinggo Loop,1,0.17
604 Bern Place,1,0.17
1052 Pathankot Avenue,1,0.17
1148 Saarbrcken Parkway,1,0.17
775 ostka Drive,1,0.17
1308 Arecibo Way,1,0.17
486 Ondo Parkway,1,0.17
43 Vilnius Manor,1,0.17
1410 Benin City Parkway,1,0.17
114 Jalib al-Shuyukh Manor,1,0.17
1532 Dzerzinsk Way,1,0.17
369 Papeete Way,1,0.17
1895 Zhezqazghan Drive,1,0.17
183 Haiphong Street,1,0.17
810 Palghat (Palakkad) Boulevard,1,0.17
614 Denizli Parkway,1,0.17
682 Garden Grove Place,1,0.17
433 Florencia Street,1,0.17
86 Higashiosaka Lane,1,0.17
1351 Sousse Lane,1,0.17
669 Firozabad Loop,1,0.17
1114 Liepaja Street,1,0.17
105 Dzerzinsk Manor,1,0.17
1003 Qinhuangdao Street,1,0.17
1332 Gaziantep Lane,1,0.17
734 Tanshui Avenue,1,0.17
1483 Pathankot Street,1,0.17
1966 Amroha Avenue,1,0.17
1560 Jelets Boulevard,1,0.17
1766 Almirante Brown Street,1,0.17
752 Ondo Loop,1,0.17
1623 Baha Blanca Manor,1,0.17
454 Nakhon Sawan Boulevard,1,0.17
556 Baybay Manor,1,0.17
816 Cayenne Parkway,1,0.17
226 Brest Manor,1,0.17
287 Cuautla Boulevard,1,0.17
1793 Meixian Place,1,0.17
1157 Nyeri Loop,1,0.17
1780 Hino Boulevard,1,0.17
927 Baha Blanca Parkway,1,0.17
1149 A Corua (La Corua) Boulevard,1,0.17
61 Tama Street,1,0.17
1866 al-Qatif Avenue,1,0.17
733 Mandaluyong Place,1,0.17
262 A Corua (La Corua) Parkway,1,0.17
548 Uruapan Street,1,0.17
943 Tokat Street,1,0.17
1191 Tandil Drive,1,0.17
687 Alessandria Parkway,1,0.17
1740 Portoviejo Avenue,1,0.17
1208 Tama Loop,1,0.17
661 Chisinau Lane,1,0.17
1698 Southport Loop,1,0.17
1197 Sokoto Boulevard,1,0.17
829 Grand Prairie Way,1,0.17
44 Najafabad Way,1,0.17
1964 Allappuzha (Alleppey) Street,1,0.17
746 Joliet Lane,1,0.17
773 Dallas Manor,1,0.17
885 Yingkou Manor,1,0.17
115 Hidalgo Parkway,1,0.17
758 Junan Lane,1,0.17
1322 Mosul Parkway,1,0.17
414 Mandaluyong Street,1,0.17
544 Malm Parkway,1,0.17
154 Tallahassee Loop,1,0.17
1816 Bydgoszcz Loop,1,0.17
923 Tangail Boulevard,1,0.17
1736 Cavite Place,1,0.17
333 Goinia Way,1,0.17
362 Rajkot Lane,1,0.17
1838 Tabriz Lane,1,0.17
127 Purnea (Purnia) Manor,1,0.17
1257 Guadalajara Street,1,0.17
1287 Xiangfan Boulevard,1,0.17
906 Goinia Way,1,0.17
1892 Nabereznyje Telny Lane,1,0.17
1741 Hoshiarpur Boulevard,1,0.17
870 Ashqelon Loop,1,0.17
632 Usolje-Sibirskoje Parkway,1,0.17
1469 Plock Lane,1,0.17
740 Udaipur Lane,1,0.17
1010 Klerksdorp Way,1,0.17
1947 Poos de Caldas Boulevard,1,0.17
127 Iwakuni Boulevard,1,0.17
470 Boksburg Street,1,0.17
1980 Kamjanets-Podilskyi Street,1,0.17
904 Clarksville Drive,1,0.17
1229 Valencia Parkway,1,0.17
140 Chiayi Parkway,1,0.17
32 Liaocheng Way,1,0.17
1998 Halifax Drive,1,0.17
1175 Tanauan Way,1,0.17
18 Duisburg Boulevard,1,0.17
1501 Pangkal Pinang Avenue,1,0.17
1370 Le Mans Avenue,1,0.17
1704 Tambaram Manor,1,0.17
419 Iligan Lane,1,0.17
1145 Vilnius Manor,1,0.17
64 Korla Street,1,0.17
1425 Shikarpur Manor,1,0.17
1427 Tabuk Place,1,0.17
368 Hunuco Boulevard,1,0.17
166 Jinchang Street,1,0.17
1587 Sullana Lane,1,0.17
1867 San Juan Bautista Tuxtepec Avenue,1,0.17
1692 Ede Loop,1,0.17
1163 London Parkway,1,0.17
1883 Maikop Lane,1,0.17
29 Pyongyang Loop,1,0.17
754 Valencia Place,1,0.17
98 Pyongyang Boulevard,1,0.17
1924 Shimonoseki Drive,1,0.17
1718 Valencia Street,1,0.17
1006 Santa Brbara dOeste Manor,1,0.17
57 Arlington Manor,1,0.17
1749 Daxian Place,1,0.17
1913 Kamakura Place,1,0.17
469 Nakhon Sawan Street,1,0.17
1889 Valparai Way,1,0.17
211 Chiayi Drive,1,0.17
1786 Salinas Place,1,0.17
1359 Zhoushan Parkway,1,0.17
1244 Allappuzha (Alleppey) Place,1,0.17
1177 Jelets Way,1,0.17
786 Matsue Way,1,0.17
1405 Chisinau Place,1,0.17
804 Elista Drive,1,0.17
791 Salinas Street,1,0.17
46 Pjatigorsk Lane,1,0.17
587 Benguela Manor,1,0.17
1440 Compton Place,1,0.17
1088 Ibirit Place,1,0.17
966 Arecibo Loop,1,0.17
1368 Maracabo Boulevard,1,0.17
1666 Beni-Mellal Place,1,0.17
539 Hami Way,1,0.17
247 Jining Parkway,1,0.17
751 Lima Loop,1,0.17
798 Cianjur Avenue,1,0.17
1920 Weifang Avenue,1,0.17
519 Nyeri Manor,1,0.17
176 Mandaluyong Place,1,0.17
1309 Weifang Street,1,0.17
1668 Saint Louis Place,1,0.17
659 Gatineau Boulevard,1,0.17
832 Nakhon Sawan Manor,1,0.17
9 San Miguel de Tucumn Manor,1,0.17
1747 Rustenburg Place,1,0.17
17 Kabul Boulevard,1,0.17
1338 Zalantun Lane,1,0.17
217 Botshabelo Place,1,0.17
270 Amroha Parkway,1,0.17
320 Brest Avenue,1,0.17
447 Surakarta Loop,1,0.17
391 Callao Drive,1,0.17
1926 Gingoog Street,1,0.17
1411 Lillydale Drive,1,0.17
47 MySakila Drive,1,0.17
437 Chungho Drive,1,0.17
1774 Yaound Place,1,0.17
96 Tafuna Way,1,0.17
435 0 Way,1,0.17
1764 Jalib al-Shuyukh Parkway,1,0.17
270 Tambaram Parkway,1,0.17
230 Urawa Drive,1,0.17
85 San Felipe de Puerto Plata Drive,1,0.17
602 Paarl Street,1,0.17
184 Mandaluyong Street,1,0.17
1061 Ede Avenue,1,0.17
786 Aurora Avenue,1,0.17
1623 Kingstown Drive,1,0.17
1427 A Corua (La Corua) Place,1,0.17
505 Madiun Boulevard,1,0.17
951 Stara Zagora Manor,1,0.17
346 Skikda Parkway,1,0.17
1201 Qomsheh Manor,1,0.17
42 Fontana Avenue,1,0.17
446 Kirovo-Tepetsk Lane,1,0.17
1135 Izumisano Parkway,1,0.17
1325 Fukuyama Street,1,0.17
1515 Korla Way,1,0.17
1445 Carmen Parkway,1,0.17
530 Lausanne Lane,1,0.17
1214 Hanoi Way,1,0.17
1565 Tangail Manor,1,0.17
866 Shivapuri Manor,1,0.17
1416 San Juan Bautista Tuxtepec Avenue,1,0.17
261 Saint Louis Way,1,0.17
951 Springs Lane,1,0.17
614 Pak Kret Street,1,0.17
1831 Nam Dinh Loop,1,0.17
1635 Kuwana Boulevard,1,0.17
1848 Salala Boulevard,1,0.17
600 Purnea (Purnia) Avenue,1,0.17
186 Skikda Lane,1,0.17
1936 Lapu-Lapu Parkway,1,0.17
535 Ahmadnagar Manor,1,0.17
608 Birgunj Parkway,1,0.17
1586 Guaruj Place,1,0.17
1059 Yuncheng Avenue,1,0.17
532 Toulon Street,1,0.17
725 Isesaki Place,1,0.17
1050 Garden Grove Avenue,1,0.17
154 Oshawa Manor,1,0.17
381 Kabul Way,1,0.17
47 Syktyvkar Lane,1,0.17
454 Patiala Lane,1,0.17
43 Dadu Avenue,1,0.17
220 Hidalgo Drive,1,0.17
97 Shimoga Avenue,1,0.17
1342 Abha Boulevard,1,0.17
1031 Daugavpils Parkway,1,0.17
1447 Imus Way,1,0.17
251 Florencia Drive,1,0.17
1367 Yantai Manor,1,0.17
88 Nagaon Manor,1,0.17
1155 Liaocheng Place,1,0.17
1386 Yangor Avenue,1,0.17
1447 Chatsworth Place,1,0.17
717 Changzhou Lane,1,0.17
374 Bat Yam Boulevard,1,0.17
1952 Pune Lane,1,0.17
319 Plock Parkway,1,0.17
1717 Guadalajara Lane,1,0.17
1641 Changhwa Place,1,0.17
1279 Udine Parkway,1,0.17
1014 Loja Manor,1,0.17
334 Munger (Monghyr) Lane,1,0.17
1150 Kimchon Manor,1,0.17
1266 Laredo Parkway,1,0.17
1854 Tieli Street,1,0.17
1632 Bislig Avenue,1,0.17
502 Mandi Bahauddin Parkway,1,0.17
270 Toulon Boulevard,1,0.17
785 Vaduz Street,1,0.17
1224 Huejutla de Reyes Boulevard,1,0.17
1642 Charlotte Amalie Drive,1,0.17
1016 Iwakuni Street,1,0.17
289 Santo Andr Manor,1,0.17
1079 Tel Aviv-Jaffa Boulevard,1,0.17
1407 Surakarta Manor,1,0.17
850 Salala Loop,1,0.17
68 Molodetno Manor,1,0.17
1297 Alvorada Parkway,1,0.17
1308 Sumy Loop,1,0.17
1891 Rizhao Boulevard,1,0.17
758 Korolev Parkway,1,0.17
482 Kowloon and New Kowloon Manor,1,0.17
125 Citt del Vaticano Boulevard,1,0.17
656 Matamoros Drive,1,0.17
935 Aden Boulevard,1,0.17
1168 Najafabad Parkway,1,0.17
320 Baiyin Parkway,1,0.17
97 Mogiljov Lane,1,0.17
442 Rae Bareli Place,1,0.17
1386 Nakhon Sawan Boulevard,1,0.17
619 Hunuco Avenue,1,0.17
569 Baicheng Lane,1,0.17
1540 Wroclaw Drive,1,0.17
808 Bhopal Manor,1,0.17
397 Sunnyvale Avenue,1,0.17
1107 Nakhon Sawan Avenue,1,0.17
591 Sungai Petani Drive,1,0.17
264 Bhimavaram Manor,1,0.17
1337 Mit Ghamr Avenue,1,0.17
1333 Haldia Street,1,0.17
715 So Bernardo do Campo Lane,1,0.17
1342 Sharja Way,1,0.17
479 San Felipe del Progreso Avenue,1,0.17
33 Gorontalo Way,1,0.17
586 Tete Way,1,0.17
692 Joliet Street,1,0.17
1688 Okara Way,1,0.17
1566 Inegl Manor,1,0.17
1089 Iwatsuki Avenue,1,0.17
319 Springs Loop,1,0.17
1987 Coacalco de Berriozbal Loop,1,0.17
869 Shikarpur Way,1,0.17
519 Brescia Parkway,1,0.17
682 Halisahar Place,1,0.17
1844 Usak Avenue,1,0.17
801 Hagonoy Drive,1,0.17
1551 Rampur Lane,1,0.17
1658 Cuman Loop,1,0.17
1762 Paarl Parkway,1,0.17
401 Sucre Boulevard,1,0.17
81 Hodeida Way,1,0.17
1269 Ipoh Avenue,1,0.17
1402 Zanzibar Boulevard,1,0.17
1158 Mandi Bahauddin Parkway,1,0.17
1668 Anpolis Street,1,0.17
605 Rio Claro Parkway,1,0.17
28 Charlotte Amalie Street,1,0.17
191 Jos Azueta Parkway,1,0.17
962 Tama Loop,1,0.17
1516 Escobar Drive,1,0.17
1666 Qomsheh Drive,1,0.17
1256 Bislig Boulevard,1,0.17
936 Salzburg Lane,1,0.17
1584 Ljubertsy Lane,1,0.17
1599 Plock Drive,1,0.17
867 Benin City Avenue,1,0.17
1304 s-Hertogenbosch Way,1,0.17
955 Bamenda Way,1,0.17
360 Toulouse Parkway,1,0.17
346 Cam Ranh Avenue,1,0.17
1354 Siegen Street,1,0.17
934 San Felipe de Puerto Plata Street,1,0.17
1404 Taguig Drive,1,0.17
1789 Saint-Denis Parkway,1,0.17
1479 Rustenburg Boulevard,1,0.17
568 Dhule (Dhulia) Loop,1,0.17
1542 Lubumbashi Boulevard,1,0.17
1967 Sincelejo Place,1,0.17
23 Workhaven Lane,1,0.17
1908 Gaziantep Place,1,0.17
483 Ljubertsy Parkway,1,0.17
1909 Dayton Avenue,1,0.17
1966 Tonghae Street,1,0.17
1697 Tanauan Lane,1,0.17
722 Bradford Lane,1,0.17
1957 Yantai Lane,1,0.17
475 Atinsk Way,1,0.17
124 al-Manama Way,1,0.17
793 Cam Ranh Avenue,1,0.17
195 Ilorin Street,1,0.17
1346 Mysore Drive,1,0.17
1101 Bucuresti Boulevard,1,0.17
68 Ponce Parkway,1,0.17
642 Nador Drive,1,0.17
842 Salzburg Lane,1,0.17
617 Klerksdorp Place,1,0.17
1245 Ibirit Way,1,0.17
624 Oshawa Boulevard,1,0.17
1817 Livorno Way,1,0.17
1954 Kowloon and New Kowloon Way,1,0.17
1639 Saarbrcken Drive,1,0.17
1759 Niznekamsk Avenue,1,0.17
582 Papeete Loop,1,0.17
1447 Imus Place,1,0.17
1077 San Felipe de Puerto Plata Place,1,0.17
1778 Gijn Manor,1,0.17
915 Ponce Place,1,0.17
1405 Hagonoy Avenue,1,0.17
920 Kumbakonam Loop,1,0.17
927 Barcelona Street,1,0.17
1152 al-Qatif Lane,1,0.17
588 Vila Velha Manor,1,0.17
42 Brindisi Place,1,0.17
913 Coacalco de Berriozbal Loop,1,0.17
306 Antofagasta Place,1,0.17
886 Tonghae Place,1,0.17
1519 Ilorin Place,1,0.17
241 Mosul Lane,1,0.17
1768 Udine Loop,1,0.17
943 Johannesburg Avenue,1,0.17
765 Southampton Drive,1,0.17
76 Kermanshah Manor,1,0.17
1531 Sal Drive,1,0.17
600 Bradford Street,1,0.17
89 Allappuzha (Alleppey) Manor,1,0.17
